Social ID,Password
10001,10001
10002,10002
10003,10003
18120003,18120003
18120008,18120008
18120009,18120009
18120013,18120013
18120015,18120015
18120026,18120026
18120149,18120149
18127446,18127446
18127469,18127469
19120003,19120003
19120008,19120008
19120009,19120009
19120013,19120013
19120015,19120015
19120026,19120026
19120149,19120149
19127446,19127446
19127469,19127469
20120003,20120003
20120008,20120008
20120009,20120009
20120013,20120013
20120015,20120015
20120026,20120026
20120149,20120149
20127446,20127446
20127469,20127469
21120003,21120003
21120008,21120008
21120009,21120009
21120013,21120013
21120015,21120015
21120026,21120026
21120149,21120149
21127446,21127446
21127469,21127469
22120003,22120003
22120008,22120008
22120009,22120009
22120013,22120013
22120015,22120015
22120026,22120026
22120149,22120149
22127446,22127446
22127469,22127469
